id,name,type,age,year,sector,genre,country,company,regisseur
heboca,Helena Bonham Carter,1,,,7,,,,
pldeaf,Planet der Affen,2,35,2001,1,5,US,20th Century Fox,Tim Burton
novocaine,Novocaine,2,35,2001,1,6,US,Artisan Entertainment,David Atkins
football,Football,2,35,2001,1,9,,,Gaby Dellal
thheofme,The Heart of Me,2,36,2002,1,2,US,ThinkFilm,Thaddeus O Sullivan
tihuvowaus,Till Human Voices Wake us,2,36,2002,1,2,US,Paramount Pictures,Michael Petroni
lifrba,Live from Baghdad,2,36,2002,1,2,US,HBO Films,Mick Jackson
hevi,Henry VIII,2,37,2003,2,2,US,CBS,Pete Travis
bifi,Big Fish,2,37,2003,1,5,US,Columbia Pictures,Tim Burton
lesn,Lemony Snicket,2,38,2004,1,6,US,DreamWorks,Brad Silberling
chundisc,Charlie und die Schokoladenfabrik,2,39,2005,1,5,US,Warner Bros,Tim Burton
cowiotwo,Conversations with other Women,2,39,2005,1,9,US,Fabrication Films,Hans Canosa
waangrthcoofthwera1,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,9,UK,Frontier Developments,
waangrthcoofthwera2,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,8,US,DreamWorks,Steve Box
cobrhomieile,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,8,US,Warner Bros,Tim Burton
mase,Magnificent seven,2,39,2005,1,1,US,Metro Goldwyn Mayer,Kenneth Glenaan
sisi,Sixty Six,2,40,2006,1,6,US,First Independent Pictures,Paul Weiland
swtodetebaaudeflst,Sweeney Todd Der teuflische Barbier aus der Fleet Street,2,41,2007,1,4,US,Paramount Pictures,Tim Burton
tedier,Terminator Die Erloesung,2,43,2009,1,1,US,Warner Bros,Joseph McGinty Nichol
enid,Enid,2,43,2009,1,2,US,BBC,James Hawes
degr,Der Grueffelo,2,43,2009,1,8,US,BBC,Max Lang
alimwu,Alice im Wunderland,2,44,2010,1,5,US,Walt Disney,Tim Burton
thkisp,The Kings Speech ,2,44,2010,1,2,US,Weinstein Co,Tom Hooper
toast,Toast,2,44,2010,1,6,UK,Wtwo Media,S J Clarkson
litosh,Lifes too short,2,45,2011,2,6,UK,Blink Entertainment,Ricky Gervais
dagr,Das Grueffelokind,2,45,2011,1,8,US,BBC,Uwe Heidschoetter
ruwaouofthga,Rufus Wainwright Out of the game,2,46,2012,5,9,US,Decca Records,Philip Andelman
dash,Dark Shadows,2,46,2012,1,4,UK,Warner Bros,Tim Burton
ath,A Therapy,2,46,2012,1,6,ITA,Prada,Roman Polanski
grer,Große Erwartungen,2,46,2012,1,2,US,20th Century Fox,Mike Newell
lemi,Les Miserables,2,46,2012,1,9,US,Universal Pictures,Tom Hooper
thlora,The Lone Ranger,2,47,2013,1,1,US,Walt Disney,Gore Verbinski
buunta,Burton und Taylor,2,47,2013,1,2,US,BBC,Richard Laxton
dikametr,Die Karte meiner Traeume,2,47,2013,1,1,US,Weinstein Co,Jean Pierre Jeunet
maanspbeinmaansp,Marks and Spencer Believe in Magic and Sparkle,2,47,2013,1,9,,,Johan Renck
divetoge,Die Verschwoerung Toedliche Geschäfte,2,48,2014,1,2,UK,Carnival Films,David Hare
divegnja,Die Verschwoerung Gnadenlose Jagd,2,48,2014,1,2,UK,Carnival Films,David Hare
cinderella,Cinderella,2,49,2015,1,9,US,Walt Disney,Kenneth Branagh
sutastwo,Suffragette Taten statt Worte,2,49,2015,1,2,US,Focus Features,Sarah Gavron
alimwuhidesp,Alice im Wunderland Hinter den Spiegeln,2,50,2016,1,5,US,Walt Disney,James Bobin
loni,Love Nina,2,50,2016,2,2,US,BBC,S J Clarkson
poap,Poles Apart,2,51,2017,1,2,UK,NFTS,Paloma Baeza
elanco,Eleanor and Colette,2,51,2017,1,2,DE,Elsani Film,Bille August
ststanamhe,Stg Stubby An American Hero,2,52,2018,1,9,US,Fun Academy Motion Pictures,Richard Lanni
ocei,Oceans Eight,2,52,2018,1,6,US,Warner Bros,Gary Ross
blopfodeofthni,Black Ops four Dead of the Night,2,52,2018,6,9,US,Treyarch,Jason Blundell
dedukraedewi,Der dunkle Kristall Aera des Widerstands,2,53,2019,2,5,US,Jim Henson Company,
emfohilojo,E M Forster His longest Journey,2,53,2019,1,7,US,,Adrian Munsey
dfthgrsoca,DFS The Great Sofa Caper,2,53,2019,1,8,US,DreamWorks,Magdalena Osinska
drve,Dragonheart Vengeance,2,54,2020,1,5,US,Raffaela Productions,Ivan Silvestrini
ciqudafohe,Cinema Quarantina Das Fone Hell,2,54,2020,1,9,,,Sam Neill
enho,Enola Holmes,2,54,2020,1,9,US,Warner Bros,Harry Bradbeer
thcr,The Crown,2,53,2019,2,2,US,Sony Pictures,Christian Schwochow
clown,Clown,2,54,2020,1,4,,,Luigi Berio
thcl,The Cleaner,2,55,2021,2,6,US,CBS,Les Mayfield
thho,The House,2,56,2022,1,6,UK,Nexus Studios,Paloma Baeza
tepe,Ten Percent,2,56,2022,2,6,US,Bron Studios,Sam Leifer
enho2,Enola Holmes 2,2,56,2022,1,9,US,Warner Bros,Harry Bradbeer
apwasesiitaldoth,Apple Watch Series six It already does that,2,54,2020,3,9,UK,Apple,
bradbrneda,Bryan Adams Brand New Day,2,49,2015,5,9,UK,Polydor,Bryan Adams
wiba,Wild Babys,2,56,2022,2,7,US,Netflix,
nolly,Nolly,2,56,2023,2,2,UK,Quay Street Productions,
20cefo,twenty Century Fox,2,,,9,,,,
aren,Artisan Entertainment,2,,,9,,,,
thinkfilm,ThinkFilm,2,,,9,,,,
papi,Paramount Pictures,2,,,9,,,,
hbo,HBO Films,2,,,9,,,,
cbs,CBS,2,,,9,,,,
copi,Columbia Pictures,2,,,9,,,,
drwo,Dream Works,2,,,9,,,,
wabr,Warner Bros ,2,,,9,,,,
fafi,Fabrication Films,2,,,9,,,,
frde,Frontier Developments,2,,,9,,,,
fiinpi,First Independent Pictures,2,,,9,,,,
bbc,BBC,2,,,9,,,,
unpi,Universal Pictures,2,,,9,,,,
wadi,Walt Disney,2,,,9,,,,
weco,Weinstein CO,2,,,9,,,,
cafi,Carnival Films,2,,,9,,,,
fofe,Focus Features,2,,,9,,,,
nfts,NFTS,2,,,9,,,,
elfi,Elsani Films,2,,,9,,,,
fuacmopi,Fun Academy Motion Pictures,2,,,9,,,,
jiheco,Jim Henson Company,2,,,9,,,,
rapr,Raffaela Productions,2,,,9,,,,
sopi,Sony Pictures ,2,,,9,,,,
brst,Bron Studios,2,,,9,,,,
qustpr,Quay Street Productions,2,,,9,,,,
wtme,Wtwo Media,2,,,9,,,,
netflix,Netflix,2,,,9,,,,
mgm,Metro Goldwyn Mayer,2,,,9,,,,
blen,Blink Entertainment,2,,,9,,,,
prada,Prada,2,,,9,,,,
nest,Nexus Studios,2,,,9,,,,
apple,Apple,2,,,9,,,,
polydor,Polydor,2,,,9,,,,
treyarch,Treyarch,2,,,9,,,,
dere,Decca Records,2,,,9,,,,
tibu,Tim Burton,1,,,8,,,,
daat,David Atkins,1,,,8,,,,
gade,Gaby Dellal,1,,,8,,,,
thosu,Thaddeus O Sullivan,1,,,8,,,,
mipe,Michael Petroni,1,,,8,,,,
mija,Mick Jackon,1,,,8,,,,
petr,Pete Travis,1,,,8,,,,
brsi,Brad Silberling,1,,,8,,,,
haca,Hans Canosa,1,,,8,,,,
stbo,Steve Box,1,,,8,,,,
kegl,Kenneth Glenaan,1,,,8,,,,
pawe,Paul Weiland,1,,,8,,,,
toho,Tom Hooper,1,,,8,,,,
jaha,James Hawes,1,,,8,,,,
mala,Max Lang,1,,,8,,,,
sjcl,S J Clarkson,1,,,8,,,,
rige,Ricky Gervais,1,,,8,,,,
uwhe,Uwe Heidschoetter,1,,,8,,,,
phan,Philip Andelman,1,,,8,,,,
ropo,Roman Polanski,1,,,8,,,,
mine,Mike Newell,1,,,8,,,,
gove,Gore Verbinski,1,,,8,,,,
rila,Richard Laxton,1,,,8,,,,
jepije,Jean Pierre Jeunet,1,,,8,,,,
jore,Johann Renck,1,,,8,,,,
daha,David Hare,1,,,8,,,,
kebr,Kenneth Branagh,1,,,8,,,,
sagr,Sarah Gravon,1,,,8,,,,
jabo,James Bobin,1,,,8,,,,
paba,Paloma Baeza,1,,,8,,,,
biau,Bille August,1,,,8,,,,
rila,Richard Lanni,1,,,8,,,,
garo,Gary Ross,1,,,8,,,,
jabl,Jason Blundell,1,,,8,,,,
admu,Adrian Munsey,1,,,8,,,,
maos,Magdalena Osinska,1,,,8,,,,
ivsi,Ivan Silvestrini,1,,,8,,,,
habr,Harry Bradbeer,1,,,8,,,,
chsc,Christian Schwochow,1,,,8,,,,
lube,Luigi Bewio,1,,,8,,,,
sale,Sam Leifer,1,,,8,,,,
brad,Bryan Adams,1,,,8,,,,
sane,Sam Neill,1,,,8,,,,
lema,Les Mayfield,1,,,8,,,,
jomc,Joseph McGinty Nichol,1,,,8,,,,
