from,to,relation
dr,hpeins,1
dr,hpzwei,1
dr,hpdrei,1
dr,hpvier,1
dr,hpfünf,1
dr,hpsechs,1
dr,hpsieben,1
dr,hpacht,1
dr,dsvp,2
dr,dfis,1
dr,kyd,1
dr,ho,1
dr,tfw,1
dr,dq,2
dr,tg,1
dr,vf,1
dr,sam,1
dr,du2,2
dr,im,2
dr,lil,2
dr,ju,1
dr,dk,1
dr,pm,1
dr,ga,1
dr,efp,1
dr,tlc,2
dr,we,1
rg,hpeins,1
rg,hpzwei,1
rg,hpdrei,1
rg,hpvier,1
rg,hpfünf,1
rg,hpsechs,1
rg,hpsieben,1
rg,hpacht,1
rg,dh,2
rg,hbpp,1
rg,ume,1
rg,cb,1
rg,wt,1
rg,itw,2
rg,llcc,2
rg,fus,1
rg,cbgb,1
rg,sc,2
rg,pp,2
rg,iod,1
rg,mw,1
ew,hpeins,1
ew,hpzwei,1
ew,hpdrei,1
ew,hpvier,1
ew,hpfünf,1
ew,hpsechs,1
ew,hpsieben,1
ew,hpacht,1
ew,bs,1
ew,dpx,1
ew,mwwm,2
ew,vllm,1
ew,tbr,1
ew,dide,2
ew,noa,1
ew,cod,1
ew,reg,1
ew,dsudb,1
ew,tc,1
ew,lw,1
